sample_id,screening_id,source_row,image_name,question,correct_answer,answer_type,question_type,tag_combo,map_type,geographic_level,reward_pattern,correct_generations,num_generations,mean_reward,diagnostic_class,selection_reason
1,1,0,1.webp,Which territory occupied in 1967 appears furthest south on this image?,Sinai,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_conflict,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional+Visual_easy_all_correct
2,2,1,1.webp,How many bodies of water are visible on this map?,3,Counting,['Visual'],Visual,_conflict,_country,"0,0,1,1",2,4,0.5,mixed,retain_all_mixed_signal
5,5,4,1.webp,What is the color used to represent land occupied by Israel in 1967?,Light beige or tan,Single Entity,['Visual'],Visual,_conflict,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Visual_hard_all_wrong
7,7,7,1.webp,Which occupied territory appears largest by area on this specific image?,Sinai,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_conflict,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Visual_easy_all_correct
8,8,8,1.webp,Which country appears at the northeastern corner of this map?,Syria,Single Entity,"['Visual', 'Positional']",Positional+Visual,_conflict,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Positional+Visual_easy_all_correct
9,9,9,1.webp,What geographical feature appears as light blue areas within Israel's territory?,Lakes/water bodies,Single Entity,"['Visual', 'Positional']",Positional+Visual,_conflict,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Positional+Visual_hard_all_wrong
10,10,10,2.webp,which city is the most west?,Zaporizhzhia,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_conflict,_region,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional_hard_all_wrong
11,11,11,2.webp,which city is Pokrovsk farthest from?,Melitipol,Single Entity,['Comparative'],Comparative,_conflict,_region,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
12,12,12,2.webp,which classification is Zaporizhzhia under?,none,Single Entity,['Comparative'],Comparative,_conflict,_region,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
15,15,15,2.webp,how many of the cities are in Limited Russian Military control?,0,Counting,['Other'],Other,_conflict,_region,"0,0,1,1",2,4,0.5,mixed,retain_all_mixed_signal
16,16,16,2.webp,what category is Kharkiv under?,none,Single Entity,['Comparative'],Comparative,_conflict,_region,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative_hard_all_wrong
17,17,18,2.webp,how many different categories are there?,4,Counting,['Other'],Other,_conflict,_region,"1,1,1,1",4,4,1.0,all_correct,balance_Other_easy_all_correct
18,18,19,2.webp,which city is the most north?,Kharkiv,Single Entity,"['Positional', 'Comparative']",Comparative+Positional,_conflict,_region,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional_easy_all_correct
19,19,20,3.png,Which U.S. state shows a high density of both red and blue dots in its southern region,Texas,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_marker,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional+Visual_easy_all_correct
20,20,21,3.png,In which region of the U.S. are red dots most concentrated?,Southwest,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_marker,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
21,21,22,3.png,Which U.S. state has a large cluster of red dots along its western edge?,California,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_marker,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional+Visual_easy_all_correct
22,22,23,3.png,Are there more red or blue dots in Florida?,Blue,Boolean,"['Visual', 'Comparative']",Comparative+Visual,_marker,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
23,23,24,3.png,Which Midwestern city shows a high density of blue dots near a large lake?,Chicago,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_marker,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Comparative+Positional+Visual_easy_all_correct
24,24,25,3.png,Which state has the least visible red and blue dots across its entire area?,Wyoming,Single Entity,"['Visual', 'Positional', 'Comparative']",Comparative+Positional+Visual,_marker,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Positional+Visual_hard_all_wrong
25,25,26,3.png,Is New York City more densely populated by blue or red dots?,Blue,Boolean,"['Visual', 'Comparative']",Comparative+Visual,_marker,_country,"0,0,0,0",0,4,0.0,all_wrong,balance_Comparative+Visual_hard_all_wrong
26,26,27,3.png,What color dominates along the southern border of Arizona?,Red,Single Entity,"['Visual', 'Positional']",Positional+Visual,_marker,_country,"1,1,1,1",4,4,1.0,all_correct,balance_Positional+Visual_easy_all_correct
27,27,28,3.png,Which color appears more frequently in Georgia?,Blue,Single Entity,"['Visual', 'Comparative']",Comparative+Visual,_marker,_country,"1,1,0,0",2,4,0.5,mixed,retain_all_mixed_signal
