qa_id,sample_index,country,map_no,template_no,question,ground_truth,ground_truth_type,declared_ground_truth_type,effective_ground_truth_type,generation_status,generated_tokens,final_answer,evaluated_answer,answer_extraction_method,strict_exact_match,normalized_ground_truth,normalized_prediction,inference_seconds,adapter_name,adapter_path,evaluation_note
mapwise_india_map158_3C_t21_idx0000,0,india,map158_3C,21,Yes or no: Odisha has the least value in the east coast region.,Yes,Binary,,,complete,1407,yes,yes,saved_final_answer,1,yes,yes,76.083,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_india_map50_8D_t9_idx0001,1,india,map50_8D,9,Does state Arunachal Pradesh fall in range 1.39 - 5.58?,No,Binary,,,complete,124,No,No,saved_final_answer,1,no,no,7.589,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_china_map8_0D_t3_idx0002,2,china,map8_0D,3,What is the overall range of the legend?,-5.76 - 8.76,Range,,,complete,185,-5.76 - 8.76,-5.76 - 8.76,saved_final_answer,1,-5.76-8.76,-5.76-8.76,10.458,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,Numeric endpoint comparison; abs_tol=0.01.
mapwise_usa_map_13396_t7_idx0003,3,usa,map_13396,7,Is the legend discrete or continuous?,Continuous,Single,,,complete,202,continuous,continuous,saved_final_answer,1,"[""continuous""]","[""continuous""]",11.335,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_china_map4_1C_t10_idx0004,4,china,map4_1C,10,Is the value of Beijing closer to Hainan or Yunnan?,Hainan,Single,,,complete,2044,Hainan,Hainan,saved_final_answer,1,"[""hainan""]","[""hainan""]",108.014,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_china_map16_5C_t9_idx0005,5,china,map16_5C,9,Does Jiangsu fall in the range <500?,No,Binary,,,complete,317,no,no,saved_final_answer,1,no,no,17.472,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_usa_map_1220_t19_idx0006,6,usa,map_1220,19,Yes or no: the value of Nevada is similar to Washington.,No,Binary,,,complete,172,yes,yes,saved_final_answer,0,no,yes,9.753,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_india_map8_6C_t18_idx0007,7,india,map8_6C,18,Yes or no: the value of Uttar Pradesh is higher than its neighbouring state Haryana.,Yes,Binary,,,complete,125,yes,yes,saved_final_answer,1,yes,yes,7.6,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_india_map72_6C_t2_idx0008,8,india,map72_6C,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,Binary,,,complete,124,no,no,saved_final_answer,1,no,no,7.317,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,
mapwise_china_map3_3D_t4_idx0009,9,china,map3_3D,4,What value range does the darkest shade represent?,1.39 - 2.6,Range,,,complete,70,1.39 - 2.6,1.39 - 2.6,saved_final_answer,1,1.39-2.6,1.39-2.6,4.339,checkpoint-1859,C:\Users\junyhuang\Thesis\VLM_adaptation\Training_outputs\MapWise_GRPO_Qwen3-VL-8B-Thinking_visLoRA_TRL_BS1_GA4\checkpoint-1859,Numeric endpoint comparison; abs_tol=0.01.
