qa_id,sample_index,country,map_no,template_no,question,ground_truth,ground_truth_type,legend_style,relative_region,generation_status,generated_tokens,inference_seconds,final_answer,evaluated_answer,answer_extraction_method,primary_score,strict_exact_match,metric,precision,recall,f1,rankwise_precision,mrr,map,rank_parse_success,rank_format_compliant,range_relation,normalized_ground_truth,normalized_prediction,evaluation_note
mapwise_china_map18_2C_t30_idx0000,0,china,map18_2C,30,Between which two legend markings does Jilin fall in?,0-50,Binary,c,N,complete,1696,122.629,0 and 50,0 and 50,saved_final_answer,0.0,0,binary_exact_match,,,,,,,,,,,,
mapwise_china_map18_2C_t7_idx0001,1,china,map18_2C,7,Is the legend continuous or discrete?,Continuous,Single,c,N,complete,81,4.687,continuous,continuous,saved_final_answer,1.0,1,single_recall,1.0,1.0,1.0,,,,,,,"[""continuous""]","[""continuous""]",
mapwise_china_map18_2C_t10_idx0002,2,china,map18_2C,10,Is the value of Tibet closer to <50 or 150-200?,<50,Single,c,N,complete,179,9.88,<50,<50,saved_final_answer,1.0,1,single_recall,1.0,1.0,1.0,,,,,,,"[""50""]","[""50""]",
mapwise_china_map18_2C_t31_idx0003,3,china,map18_2C,31,Yes or no: a majority of states in the East China Sea region have values greater than 350.,No,Binary,c,N,complete,1255,66.69,no,no,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,no,no,
mapwise_china_map18_2C_t33_idx0004,4,china,map18_2C,33,Yes or no: Inner Mongolia and Shandong are the pair of bordering states with the highest difference.,No,Binary,c,N,complete,493,26.534,no,no,saved_final_answer,1.0,1,binary_exact_match,,,,,,,,,,no,no,
mapwise_china_map18_2C_t41_idx0005,5,china,map18_2C,41,Are the legends evenly spaced?,Yes,Single,c,N,complete,170,9.286,yes,yes,saved_final_answer,1.0,1,single_recall,1.0,1.0,1.0,,,,,,,"[""yes""]","[""yes""]",
mapwise_china_map18_2C_t5_idx0006,6,china,map18_2C,5,Yes or no: the legend has different shades of the same colour?,No,Binary,c,N,complete,108,6.157,Yes,Yes,saved_final_answer,0.0,0,binary_exact_match,,,,,,,,,,no,yes,
mapwise_china_map18_2C_t16_idx0007,7,china,map18_2C,16,Between which two legend markings does Guangdong fall in?,>350,Range,c,N,complete,1344,71.361,100 and 150,100 and 150,saved_final_answer,0.0,0,range_no_match,,,,,,,,,no_match,>350,100and150,Open-ended/single-value legend categories require normalized exact matching; bounded intervals additionally support numeric comparison.
mapwise_china_map18_2C_t3_idx0008,8,china,map18_2C,3,What is the overall range of the legend?,<0 - >350,Range,c,N,complete,126,7.016,0 to 350,0 to 350,saved_final_answer,0.0,0,range_no_match,,,,,,,,,no_match,<0->350,"[0.0, 350.0]",Open-ended/single-value legend categories require normalized exact matching; bounded intervals additionally support numeric comparison.
mapwise_china_map18_2C_t22_idx0009,9,china,map18_2C,22,Yes or no: States bordering India have higher values on average than states bordering Russia.,No,Binary,c,N,complete,2219,115.041,yes,yes,saved_final_answer,0.0,0,binary_exact_match,,,,,,,,,,no,yes,
