country,source_index,qa_id,ability_level,corrected_template_no,map_family,ground_truth_type,question,ground_truth,transition,baseline_correct,checkpoint_correct,baseline_answer,checkpoint_answer,baseline_tokens,checkpoint_tokens,baseline_status,checkpoint_status,baseline_reasoning_words,baseline_has_think_end,baseline_repeat4,baseline_wait_per_1k,baseline_at_limit,checkpoint_reasoning_words,checkpoint_has_think_end,checkpoint_repeat4,checkpoint_wait_per_1k,checkpoint_at_limit
india,1872,mapwise_india_map158_3C_t21_idx0000,L2,20,india:map158_3,Binary,Yes or no: Odisha has the least value in the east coast region.,Yes,0->1,0,1,no,yes,2794,1407,complete,complete,2047,True,0.4261252446183953,18.563751831949194,False,1009,True,0.2495029821073559,18.830525272547078,False
india,1298,mapwise_india_map50_8D_t9_idx0001,L1,9,india:map50_8,Binary,Does state Arunachal Pradesh fall in range 1.39 - 5.58?,No,1->1,1,1,no,no,124,124,complete,complete,77,True,0.04054054054054057,12.987012987012987,False,77,True,0.04054054054054057,12.987012987012987,False
china,956,mapwise_china_map8_0D_t3_idx0002,L0,3,china:map8_0,Range,What is the overall range of the legend?,-5.76 - 8.76,1->1,1,1,-5.76-8.76,-5.76-8.76,185,185,complete,complete,112,True,0.0,8.928571428571429,False,112,True,0.0,8.928571428571429,False
usa,2681,mapwise_usa_map_13396_t7_idx0003,L0,7,usa:map_13396,Single,Is the legend discrete or continuous?,Continuous,1->1,1,1,['continuous'],['continuous'],180,202,complete,complete,130,True,0.0,0.0,False,150,True,0.0,0.0,False
china,34,mapwise_china_map4_1C_t10_idx0004,L1,10,china:map4_1,Single,Is the value of Beijing closer to Hainan or Yunnan?,Hainan,0->1,0,1,,['hainan'],3072,2044,truncated,complete,1919,False,0.20459290187891443,9.900990099009901,True,1289,True,0.19517884914463457,13.188518231186967,False
china,633,mapwise_china_map16_5C_t9_idx0005,L1,9,china:map16_5,Binary,Does Jiangsu fall in the range <500?,No,1->1,1,1,no,no,305,317,complete,complete,193,True,0.052631578947368474,10.362694300518134,False,201,True,0.025252525252525304,9.950248756218905,False
usa,2432,mapwise_usa_map_1220_t19_idx0006,L1,18,usa:map_1220,Binary,Yes or no: the value of Nevada is similar to Washington.,No,1->0,1,0,no,yes,173,172,complete,complete,97,True,0.05319148936170215,20.61855670103093,False,85,True,0.0,0.0,False
india,1083,mapwise_india_map8_6C_t18_idx0007,L3,17,india:map8_6,Binary,Yes or no: the value of Uttar Pradesh is higher than its neighbouring state Haryana.,Yes,1->1,1,1,yes,yes,117,125,complete,complete,86,True,0.0,0.0,False,92,True,0.0,0.0,False
india,1458,mapwise_india_map72_6C_t2_idx0008,L0,2,india:map72_6,Binary,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,1->1,1,1,no,no,124,124,complete,complete,82,True,0.0,0.0,False,82,True,0.0,0.0,False
china,881,mapwise_china_map3_3D_t4_idx0009,L0,4,china:map3_3,Range,What value range does the darkest shade represent?,1.39 - 2.6,1->1,1,1,1.39-2.6,1.39-2.6,70,70,complete,complete,41,True,0.0,0.0,False,41,True,0.0,0.0,False
china,622,mapwise_china_map18_5C_t30_idx0010,L2,29,china:map18_5,Binary,Does Tibet have the same value as Xinjiang amongst the states bordering India.,No,1->0,1,0,no,,2182,3072,complete,truncated,1346,True,0.3492181682799702,18.573551263001487,False,1932,False,0.4370139968895801,21.22153209109731,True
india,1472,mapwise_india_map81_5D_t37_idx0011,L3,36,india:map81_5,Single,Which states on the west coast does not border any state from range 3.54 - 4.82?,"Gujarat, Kerala",0->0,0,0,,,3072,3072,truncated,truncated,1841,False,0.3601741022850925,14.122759369907659,True,1884,False,0.3078149920255183,9.023354564755838,True
india,1109,mapwise_india_map9_7D_t16_idx0012,L1,15,india:map9_7,Range,What value range does Telangana fall in?,149.85 - 635.03,1->0,1,0,149.85-635.03,8.25-27.67,738,238,complete,complete,333,True,0.203030303030303,9.00900900900901,False,105,True,0.019607843137254943,0.0,False
china,868,mapwise_china_map2_4D_t8_idx0013,L0,8,china:map2_4,Range,Which class has the largest range of values?,17.0 - 51.9,0->0,0,0,-56.31--18.3,-56.31--18.3,659,531,complete,complete,312,True,0.08737864077669899,3.2051282051282053,False,260,True,0.035019455252918275,3.8461538461538463,False
