qa_id,sample_index,country,map_no,template_no,question,ground_truth,ground_truth_type,declared_ground_truth_type,effective_ground_truth_type,generation_status,generated_tokens,final_answer,evaluated_answer,answer_extraction_method,strict_exact_match,normalized_ground_truth,normalized_prediction,inference_seconds,adapter_name,adapter_path,evaluation_note
mapwise_india_map158_3C_t21_idx0000,0,india,map158_3C,21,Yes or no: Odisha has the least value in the east coast region.,Yes,Binary,,,complete,2794,no,no,saved_final_answer,0,yes,no,147.1,baseline,,
mapwise_india_map50_8D_t9_idx0001,1,india,map50_8D,9,Does state Arunachal Pradesh fall in range 1.39 - 5.58?,No,Binary,,,complete,124,No,No,saved_final_answer,1,no,no,7.223,baseline,,
mapwise_china_map8_0D_t3_idx0002,2,china,map8_0D,3,What is the overall range of the legend?,-5.76 - 8.76,Range,,,complete,185,-5.76 - 8.76,-5.76 - 8.76,saved_final_answer,1,-5.76-8.76,-5.76-8.76,10.941,baseline,,Numeric endpoint comparison; abs_tol=0.01.
mapwise_usa_map_13396_t7_idx0003,3,usa,map_13396,7,Is the legend discrete or continuous?,Continuous,Single,,,complete,180,continuous,continuous,saved_final_answer,1,"[""continuous""]","[""continuous""]",10.222,baseline,,
mapwise_china_map4_1C_t10_idx0004,4,china,map4_1C,10,Is the value of Beijing closer to Hainan or Yunnan?,Hainan,Single,,,truncated,3072,"Got it, let's try to figure this out. First, I need to recall the map. The map shows China's provinces with different shades indicating the investment growth rate. The question is about Beijing's value being closer to Hainan or Yunnan.

First, identify the locations. Beijing is a city, so on the map, which province is Beijing in? Beijing is the capital, so it's in the northern part of China. Looking at the map, the provinces are labeled with two-letter codes. For example, ""BJ"" might be Beijing, but wait, the labels on the map: let's check the labels. The map has labels like ""HL"" (Heilongjiang), ""JL"" (Jilin), ""LN"" (Liaoning), ""SD"" (Shandong), ""HB"" (Hubei), ""Hunan"" (maybe ""HN""), ""GX"" (Guangxi), ""GD"" (Guangdong), ""FJ"" (Fujian), ""ZJ"" (Zhejiang), ""JS"" (Jiangsu), ""AH"" (Anhui), ""SC"" (Sichuan), ""QH"" (Qinghai), ""XJ"" (Xinjiang), ""XZ"" (Xizang, Tibet), ""NM"" (Neimenggu, Inner Mongolia), ""SX"" (Shanxi), ""SN"" (Shaanxi), ""GS"" (Gansu), ""NX"" (Ningxia), ""CQ"" (Chongqing), ""YN"" (Yunnan), ""GZ"" (Guangdong? Wait, no, YN is Yunnan, right? Yunnan is abbreviated as YN. Hainan is a province, so its code is probably ""HN"" or ""Hainan"". Wait, the map labels: let's check the labels. The user's map has labels like ""HL"", ""JL"", ""LN"", ""SD"", ""HB"", ""HN"", ""GX"", ""GD"", ""FJ"", ""ZJ"", ""JS"", ""AH"", ""SC"", ""QH"", ""XJ"", ""XZ"", ""NM"", ""SX"", ""SN"", ""GS"", ""NX"", ""CQ"", ""YN"", ""GZ"", ""JX"", ""H"", ""H"" (maybe Beijing? Wait, the map has a label ""H"" which might be Beijing, since Beijing is often abbreviated as BJ, but maybe in this map it's ""H"" for Beijing? Wait, no, let's think. The map is of China's provinces, so each region is a province. Beijing is a municipality, so it's a separate region. On the map, the label for Beijing is probably ""BJ"", but maybe in the image it's labeled as ""H"" or another code. Wait, the user's map has labels like ""H"" (maybe Beijing), ""H"" is a label. Let's check the spatial positions.

Beijing is located in the northern part of China, near the center of the country. Hainan is a southern island province, so it's in the south. Yunnan is a province in the southwest, near the border with Myanmar. So we need to see the color values (the ""Value"" on the legend) for Beijing, Hainan, and Yunnan, then see which one is closer in value.

First, find the value for Beijing. The map's legend: the color scale goes from -20 (light pink) to 80 (dark purple). The darker the color, the higher the value. So Beijing's color: let's see. The map has a label ""H"" which is likely Beijing (since Beijing is a major city, and the map includes it). Looking at the map, the ""H"" label is in the northern part, near the center. What color is Beijing? Let's check the color. If Beijing is a dark purple, that's a high value. Hainan: Hainan is a southern province, so its label is probably ""HN"" (Hainan). Yunnan is ""YN"".

Now, the question is: is the value of Beijing closer to Hainan or Yunnan? So we need to compare the value of Beijing with Hainan and Yunnan.

First, find the value for Beijing. Let's assume the ""H"" label is Beijing. Looking at the map, the color for Beijing: if it's a dark purple, that's a high value. Let's check the legend. The darkest purple is 80. So if Beijing is dark purple, its value is high. Hainan: where is Hainan? It's the southernmost province, so on the map, it's a small area. Let's see the color for Hainan. If Hainan is a lighter shade, maybe around 20-30. Yunnan: Yunnan is in the southwest, so its color. Let's think about the spatial arrangement.

Wait, the map's color coding: the darker the color, the higher the value. So Beijing (if it's dark purple) has a high value. Hainan is a southern province, so maybe its value is lower. Yunnan is also southern but more western. Let's think about the values.

Alternatively, maybe the map's color for Beijing is a certain shade, and we need to see which of Hainan or Yunnan has a value closer to Beijing's.

Wait, the problem is about the ""value"" (the number on the legend) for each region. So we need to estimate the value for Beijing, Hainan, and Yunnan.

First, identify the regions:

- Beijing: likely the ""H"" label (since Beijing is a municipality, and the map includes it). Let's check the position: Beijing is in the north, so the ""H"" label is in the northern part of the map.

- Hainan: the southernmost province, so the label for Hainan is probably ""HN"" (Hainan). On the map, Hainan is a small island, so its position is south.

- Yunnan: the province code is ""YN"", which is Yunnan. It's in the southwest, near the border with Myanmar.

Now, look at the color of each:

- Beijing (H): the color is dark purple, which is close to 80 (the top of the legend). So value is high, maybe around 70-80.

- Hainan (HN): what's the color? Let's see. The map's southern regions: Hainan is a small area. The color for Hainan might be a medium shade. Let's check the legend. The legend goes from -20 (light pink) to 80 (dark purple). If Hainan is a medium pink, maybe around 20-30.

- Yunnan (YN): Yunnan is in the southwest. What's its color? Let's see. The map's southwest: the color for Yunnan might be a medium shade, maybe similar to Hainan or slightly different.

Wait, but the question is which value is closer to Beijing's. So if Beijing's value is high (say 70), and Hainan's value is lower (say 20), and Yunnan's value is, say, 30, then which is closer? If Beijing is 70, Hainan is 20, Yunnan is 30: 70-30=40, 70-20=50, so Yunnan is closer.

But how to determine the exact values? Let's think about the map's color scale.

The legend: the color bar on the right. The top is 80 (dark purple), then 60, 40, 20, 0, -20 (light pink).

Beijing: the ""H"" label is in the northern part. Looking at the map, the color for Beijing is very dark purple, so its value is close to 80.

Hainan: the southernmost province. Let's see the color. The map's southern regions: Hainan is a small area. The color for Hainan is probably a lighter shade. Let's check the color. If the map's southern provinces (like Guangdong, Guangxi, etc.) are medium pink, but Hainan is a small island. Wait, the map has a label ""H"" for Beijing, and ""HN"" for Hainan. Let's check the color of HN. If HN is a medium pink, maybe around 20-30.

Yunnan (YN): YN is in the southwest. The color for YN: let's see. The map's southwest region. The color for YN might be a bit darker than Hainan. For example, if Hainan is 20, Yunnan is 30.

Beijing's value is high (close to 80). So the difference between Beijing (80) and Yunnan (30) is 50, and between Beijing (80) and Hainan (20) is 60. So Yunnan is closer.

Wait, but maybe I'm wrong. Let's think again.

Alternatively, maybe the color for Beijing is not 80. Let's check the map. The user's map: the ""H"" label is in the northern part. The color for that region: if it's the darkest purple, then it's 80. Hainan is a small area in the south, so its color is lighter. Yunnan is in the southwest, so its color is maybe medium.

Wait, the problem is to determine which value is closer. So we need to see the numerical values.

Another approach: look at the color of Beijing, Hainan, and Yunnan.

Beijing: the region labeled ""H"" (Beijing) is the darkest purple, so value is 80 (since the top of the legend is 80).

Hainan: the region labeled ""HN"" (Hainan) is a lighter shade. Let's see the legend: the color for HN is around 20 (since the legend has 20 as a mark). So Hainan's value is 20.

Yunnan: the region labeled ""YN"" (Yunnan) is a medium shade. Let's say Yunnan's value is 30.

Beijing's value is 80. The difference between 80 and 20 is 60, and between 80 and 30 is 50. So Yunnan is closer.

Wait, but maybe Hainan's value is higher. Let's check the map again.

Wait, the map's legend: the color bar goes from -20 (light pink) to 80 (dark purple). So the darker the color, the higher the value.

Beijing: the darkest purple, so 80.

Hainan: let's see. The southern provinces: Guangdong (GD), Guangxi (GX), Hainan (HN). Hainan is an island, so its color. If the map shows Hainan as a medium pink, maybe 20.

Yunnan (YN): the color for YN is a bit darker than Hainan. Let's say YN is 30.

So Beijing is 80, Hainan is 20, Yunnan is 30. The difference between 80 and 30 is 50, and between 80 and 20 is 60. So Yunnan is closer.

Alternatively, maybe Hainan's value is higher. Let's think: if Hainan is a southern province, maybe its value is higher than Yunnan. But the map's color for Hainan: if it's a medium shade, maybe 30, and Yunnan is 20. Then Beijing (80) is closer to Hainan (30) than Yunnan (20)? Wait, 80-30=50, 80-20=60. So Hainan is closer.

Wait, this is confusing. How to determine the exact values.

Alternative approach: look at the spatial positions and the color gradients.

The map shows that the northern regions (like Beijing) are darker, while the southern regions are lighter. So Beijing is in the north, so high value. Hainan is in the south, so low value. Yunnan is in the southwest, so maybe medium value.

Wait, the legend: the color bar is from -20 (light pink) to 80 (dark purple). So the higher the value, the darker the color.

Beijing is in the north, so it's a dark purple (high value). Hainan is in the south, so it's a light pink (low value). Yunnan is in the southwest, so its color is between north and south.

Wait, but the question is: is the value of Beijing closer to Hainan or Yunnan?

So we need to compare the absolute difference between Beijing's value and Hainan's value, and between Beijing's value and Yunnan's value.

Assuming Beijing's value is 80 (darkest purple), Hainan's value is, say, 20 (light pink), and Yunnan's value is 30 (medium pink). Then 80-20=60, 80-30=50. So Yunnan is closer.

Alternatively, if Hainan's value is 30 and Yunnan's is 20, then 80-30=50, 80-20=60, so Hainan is closer.

But how to know which is higher between Hainan and Yunnan?

Looking at the map: Hainan is a small island in the south, Yunnan is a larger province in the southwest. The color for Hainan: if the map's southern provinces (like Guangdong, Guangxi) are medium pink, then Hainan as a small island might be similar. Yunnan is in the southwest, which is a bit more inland, so maybe its color is a bit darker than Hainan.

Wait, the",,saved_final_answer_too_long,0,,,165.631,baseline,,No extractable final answer.
mapwise_china_map16_5C_t9_idx0005,5,china,map16_5C,9,Does Jiangsu fall in the range <500?,No,Binary,,,complete,305,No,No,saved_final_answer,1,no,no,16.236,baseline,,
mapwise_usa_map_1220_t19_idx0006,6,usa,map_1220,19,Yes or no: the value of Nevada is similar to Washington.,No,Binary,,,complete,173,no,no,saved_final_answer,1,no,no,9.62,baseline,,
mapwise_india_map8_6C_t18_idx0007,7,india,map8_6C,18,Yes or no: the value of Uttar Pradesh is higher than its neighbouring state Haryana.,Yes,Binary,,,complete,117,yes,yes,saved_final_answer,1,yes,yes,6.986,baseline,,
mapwise_india_map72_6C_t2_idx0008,8,india,map72_6C,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,Binary,,,complete,124,no,no,saved_final_answer,1,no,no,7.292,baseline,,
mapwise_china_map3_3D_t4_idx0009,9,china,map3_3D,4,What value range does the darkest shade represent?,1.39 - 2.6,Range,,,complete,70,1.39 - 2.6,1.39 - 2.6,saved_final_answer,1,1.39-2.6,1.39-2.6,4.223,baseline,,Numeric endpoint comparison; abs_tol=0.01.
