image_name,question,correct_answer,question_type,answer_type,map_type,image_size_bucket,geographic_level,source_row
1.webp,Which territory occupied in 1967 appears furthest south on this image?,Sinai,"['Visual', 'Positional', 'Comparative']",Single Entity,_conflict,0.5–2MP,_country,0
1.webp,How many bodies of water are visible on this map?,3,['Visual'],Counting,_conflict,0.5–2MP,_country,1
1.webp,What type of line marks the borders of territories occupied by Israel in 1967?,Dashed grey lines,"['Visual', 'Positional']",Single Entity,_conflict,0.5–2MP,_country,2
1.webp,Which occupied territory shares borders with both Syria and Lebanon?,Golan Heights,['Positional'],Single Entity,_conflict,0.5–2MP,_country,3
1.webp,What is the color used to represent land occupied by Israel in 1967?,Light beige or tan,['Visual'],Single Entity,_conflict,0.5–2MP,_country,4
1.webp,Which news organization's logo appears on this map?,BBC,['Visual'],Single Entity,_conflict,0.5–2MP,_country,5
1.webp,Which occupied territory appears largest by area on this specific image?,Sinai,"['Visual', 'Comparative']",Single Entity,_conflict,0.5–2MP,_country,7
1.webp,Which country appears at the northeastern corner of this map?,Syria,"['Visual', 'Positional']",Single Entity,_conflict,0.5–2MP,_country,8
1.webp,What geographical feature appears as light blue areas within Israel's territory?,Lakes/water bodies,"['Visual', 'Positional']",Single Entity,_conflict,0.5–2MP,_country,9
2.webp,which city is the most west?,Zaporizhzhia,"['Positional', 'Comparative']",Single Entity,_conflict,0.5–2MP,_region,10
2.webp,which city is Pokrovsk farthest from?,Melitipol,['Comparative'],Single Entity,_conflict,0.5–2MP,_region,11
2.webp,which classification is Zaporizhzhia under?,none,['Comparative'],Single Entity,_conflict,0.5–2MP,_region,12
2.webp,how many of the cities are in Russian military control?,5,['Other'],Counting,_conflict,0.5–2MP,_region,13
2.webp,how many of the cities are in Held or regained by Ukraine?,0,['Other'],Counting,_conflict,0.5–2MP,_region,14
2.webp,how many of the cities are in Limited Russian Military control?,0,['Other'],Counting,_conflict,0.5–2MP,_region,15
2.webp,what category is Kharkiv under?,none,['Comparative'],Single Entity,_conflict,0.5–2MP,_region,16
2.webp,how many different categories are there?,4,['Other'],Counting,_conflict,0.5–2MP,_region,18
2.webp,which city is the most north?,Kharkiv,"['Positional', 'Comparative']",Single Entity,_conflict,0.5–2MP,_region,19
3.png,Which U.S. state shows a high density of both red and blue dots in its southern region,Texas,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country,20
3.png,In which region of the U.S. are red dots most concentrated?,Southwest,"['Visual', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country,21
3.png,Which U.S. state has a large cluster of red dots along its western edge?,California,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country,22
3.png,Are there more red or blue dots in Florida?,Blue,"['Visual', 'Comparative']",Boolean,_marker,0.1–0.5MP,_country,23
3.png,Which Midwestern city shows a high density of blue dots near a large lake?,Chicago,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country,24
3.png,Which state has the least visible red and blue dots across its entire area?,Wyoming,"['Visual', 'Positional', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country,25
3.png,Is New York City more densely populated by blue or red dots?,Blue,"['Visual', 'Comparative']",Boolean,_marker,0.1–0.5MP,_country,26
3.png,What color dominates along the southern border of Arizona?,Red,"['Visual', 'Positional']",Single Entity,_marker,0.1–0.5MP,_country,27
3.png,Which color appears more frequently in Georgia?,Blue,"['Visual', 'Comparative']",Single Entity,_marker,0.1–0.5MP,_country,28
3.png,Which major city in Texas shows a dense concentration of both red and blue dots?,Houston,['Visual'],Single Entity,_marker,0.1–0.5MP,_country,29
4.jpg,Which major river borders the western side of Lower Manhattan?,Hudson River,"['Positional', 'Comparative']",Single Entity,_mixed,2–8MP,_city,30
4.jpg,What is the name of the bridge that connects Lower Manhattan to Brooklyn?,Brooklyn Bridge,"['Positional', 'Comparative']",Single Entity,_mixed,2–8MP,_city,33
4.jpg,Which street appears to form the approximate northern border between Tribeca and Civic Center area?,Chambers Street,"['Visual', 'Positional']",Single Entity,_mixed,2–8MP,_city,34
4.jpg,Name one street that runs through both the Financial District and Lower Manhattan.,Broadway,"['Positional', 'Comparative']",Single Entity,_mixed,2–8MP,_city,35
4.jpg,What is the name of the park located directly west of the World Trade Center area?,Rockefeller Park,['Positional'],Single Entity,_mixed,2–8MP,_city,36
4.jpg,What is the name of the street that forms the southern boundary of the Financial District,Battery Place,['Positional'],Single Entity,_mixed,2–8MP,_city,37
4.jpg,What is the name of the street that runs directly south of City Hall?,Park Row,['Positional'],Single Entity,_mixed,2–8MP,_city,38
4.jpg,Name one street that appears to run east-west through a significant portion of Tribeca.,Duane Street,"['Visual', 'Positional']",Single Entity,_mixed,2–8MP,_city,39
5.png,Which state has the highest GDP?,Oklahama,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country,40
5.png,Which state has the lowest GDP?,Mississipi,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country,41
5.png,Which Midwestern state has the highest GDP?,Ohio,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country,42
5.png,Which Gulf Coast state has the lowest GDP?,North Carolina,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country,43
5.png,Which state bordering Mexico appears green?,Arizona,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country,44
5.png,Which state bordering Canada appears orange?,Ohio,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country,45
5.png,Which state south of Ohio appears orange?,Tennessee,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country,46
5.png,Which state directly east of Colorado appears yellow?,,"['Visual', 'Positional']",Single Entity,_choropleth,0.5–2MP,_country,47
6.png,"Based on the image, which state has the lowest median housing price?",Ohio,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country,48
6.png,"Based on the image, is Idaho more expensive than Oregon?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country,49
6.png,"Based on the image, does Arizona have a higher median home price than New Mexico?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country,50
6.png,"Based on the image, can you tell if Washington more expensive than Montana?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country,51
6.png,"Based on the image, which Great Lakes state is cheapest?",ohio,['Comparative'],Single Entity,_choropleth,0.5–2MP,_country,52
6.png,"Based on the image, is Maine more expensive than New Hampshire?",no,['Comparative'],Boolean,_choropleth,0.5–2MP,_country,53
6.png,"Based on the image, is North Dakota data available?",no,['Positional'],Boolean,_choropleth,0.5–2MP,_country,54
